ppt1,time1,gene1,ppt2,time2,gene2
B1,1.1,ARID1A,B1,1.1,HIST1H2AC
B1,1.1,ARID3B,B1,1.1,TBCD
B1,1.1,ATXN2,B1,1.1,HNRNPUL1
B1,1.1,BBS9,B1,1.1,TBCD
B1,1.1,BRWD3,B1,1.1,EEF1D
B1,1.1,DHX34,B1,1.1,GGNBP2
B1,1.1,EEF1D,B1,1.1,HIST2H2BF
B1,1.1,GAB3,B1,1.1,SMG6
B1,1.1,GGNBP2,B1,1.1,MGA
B1,1.1,GNRH1,B1,1.1,GNRH1
B1,1.1,HIST1H2AC,B1,1.1,X
B1,1.1,HIST2H2BF,B1,1.1,X
B1,1.1,HNRNPUL1,B1,1.1,USO1
B1,1.1,KIF3B,B1,1.1,X
B1,1.1,LIN52,B1,1.1,TRAPPC10
B1,1.1,LINC00623,B1,1.1,ARID1A
B1,1.1,MAPK1,B1,1.1,X
B1,1.1,MGA,B1,1.1,PTGES3
B1,1.1,MOB1A,B1,1.1,XPNPEP3
B1,1.1,MOB1A,B1,1.1,X
B1,1.1,MROH1,B1,1.1,X
B1,1.1,NEAT1,B1,1.1,SLC26A11
B1,1.1,NR3C2,B1,1.1,X
B1,1.1,PPP6R1,B1,1.1,PPP6R1
B1,1.1,PRKCH,B1,1.1,ATXN2
B1,1.1,PRKCH,B1,1.1,SRSF3
B1,1.1,PTGES3,B1,1.1,GAB3
B1,1.1,RBL1,B1,1.1,KIF3B
B1,1.1,SKIV2L,B1,1.1,NEAT1
B1,1.1,SLC25A33,B1,1.1,X
B1,1.1,SLC26A11,B1,1.1,PRKCH
B1,1.1,SMG6,B1,1.1,SMG6
B1,1.1,SMG6,B1,1.1,XAF1
B1,1.1,SMG6,B1,1.1,SMG6
B1,1.1,SRPK2,B1,1.1,X
B1,1.1,SRSF3,B1,1.1,DHX34
B1,1.1,SRSF3,B1,1.1,LIN52
B1,1.1,TBCD,B1,1.1,MOB1A
B1,1.1,TBCD,B1,1.1,X
B1,1.1,TBCD,B1,1.1,PRKCH
B1,1.1,TBCD,B1,1.1,X
B1,1.1,TBCD,B1,1.1,LINC00623
B1,1.1,TMEM106B,B1,1.1,SKIV2L
B1,1.1,TRAPPC10,B1,1.1,NR3C2
B1,1.1,USO1,B1,1.1,X
B1,1.1,X,B1,1.1,MOB1A
B1,1.1,X,B1,1.1,TBCD
B1,1.1,X,B1,1.1,X
B1,1.1,X,B1,1.1,MAPK1
B1,1.1,X,B1,1.1,MROH1
B1,1.1,X,B1,1.1,TMEM106B
B1,1.1,X,B1,1.1,X
B1,1.1,X,B1,1.1,SRPK2
B1,1.1,X,B1,1.1,X
B1,1.1,X,B1,1.1,TBCD
B1,1.1,X,B1,1.1,BBS9
B1,1.1,X,B1,1.1,X
B1,1.1,X,B1,1.1,X
B1,1.1,X,B1,1.1,XAF1
B1,1.1,X,B1,1.1,RBL1
B1,1.1,X,B1,1.1,SRSF3
B1,1.1,X,B1,1.1,TBCD
B1,1.1,X,B1,1.1,X
B1,1.1,X,B1,1.1,ZER1
B1,1.1,XAF1,B1,1.1,X
B1,1.1,XAF1,B1,1.1,BRWD3
B1,1.1,XPNPEP3,B1,1.1,SLC25A33
B1,1.1,ZER1,B1,1.1,ARID3B
B1,6.3,ARHGAP35,B1,6.3,X
B1,6.3,CCDC64,B1,6.3,X
B1,6.3,CCDC64,B1,6.3,WDR26
B1,6.3,CCDC64,B1,6.3,CCDC64
B1,6.3,CLIC5,B1,6.3,X
B1,6.3,CREBBP,B1,6.3,FUBP3
B1,6.3,DUS2L,B1,6.3,UBE2H
B1,6.3,FUBP3,B1,6.3,CLIC5
B1,6.3,HADHB,B1,6.3,X
B1,6.3,KCTD13,B1,6.3,PIK3C2A
B1,6.3,KIF1B,B1,6.3,X
B1,6.3,MKL1,B1,6.3,ZMYND8
B1,6.3,PDE3B,B1,6.3,SRSF3
B1,6.3,PIK3C2A,B1,6.3,X
B1,6.3,SCAPER,B1,6.3,HADHB
B1,6.3,SMG6,B1,6.3,XAF1
B1,6.3,SMG6,B1,6.3,X
B1,6.3,SRSF3,B1,6.3,KCTD13
B1,6.3,TBCD,B1,6.3,X
B1,6.3,TFDP1,B1,6.3,X
B1,6.3,TNRC6A,B1,6.3,TBCD
B1,6.3,UBE2H,B1,6.3,KIF1B
B1,6.3,WDR26,B1,6.3,TNRC6A
B1,6.3,WDR26,B1,6.3,X
B1,6.3,WDR26,B1,6.3,SMG6
B1,6.3,X,B1,6.3,DUS2L
