origin_id	chr	insert_position	LTR	insert_orientation	count	inserted_gene	gene_id	gene_orientation	exon_intron	nearest_gene	nearest_gene_id	nearest_gene_orientation	nearest_gene_distance	comment	pubmed_id
  PT1_Y11.4	chr1	150092532	3LTR	+	1	VPS45	11311	+	intronic				0		24968937
  PT5_Y14.5	chr9	135553991	3LTR	+	1	GTF3C4	9329	+	exonic				0		24968937
  PT1_Y11.4	chr6	34304897	5LTR	-	1	NUDT3	11165	-	intronic				0		24968937
  PT1_Y0.2	chr1	150395416	5LTR	+	1	RPRD2	23248	+	intronic				0		24968937
  PT1_Y11.4	chr16	67066122	3LTR	-	1	CBFB	865	+	intronic				0		24968937
  PT1_Y11.4	chr6	90783866	5LTR	-	1	BACH2	60468	-	intronic				0		24968937
  PT2_Y12.9	chr2	192508579	3LTR	+	1	not found				NABP1			34219		24968937
  PT3_Y7.2	chr4	154435233	3LTR	+	1	KIAA0922	23240	+	intronic				0		24968937
  PT1_Y11.4	chr17	19767334	3LTR	+	1	ULK2	9706	-	intronic				0		24968937
  PT2_Y12.9	chr12	46595029	3LTR	+	1	SLC38A1	81539	-	intronic				0		24968937
  PT1_Y0.2	chr6	90899777	3LTR	-	1	BACH2	60468	-	intronic				0		24968937
  PT1_Y0.2	chr3	51484268	5LTR	-	1	VPRBP	9730	-	intronic				0		24968937
  PT1_Y11.4	chr3	51434777	5LTR	-	2	RBM15B	29890	+	UTR3				0		24968937
  PT1_Y11.4	chr22	31927174	5LTR	-	2	SFI1	9814	+	intronic				0		24968937
  PT1_Y11.4	chr19	13275517	3LTR	+	1	not found				IER2	9592	+	9799		24968937
  PT1_Y11.4	chr7	24990855	5LTR	-	1	OSBPL3	26031	-	intronic				0		24968937
  PT5_Y14.5	chr19	2092508	3LTR	+	1	MOB3A	126308	-	intronic				0		24968937
  PT1_Y11.4	chr17	80421451	3LTR	+	1	NARF	26502	+	intronic				0		24968937
  PT3_Y7.2	chr2	14904684	3LTR	-	1	not found				LOC653602			113741		24968937
  PT1_Y11.4	chr11	108181338	5LTR	-	1	ATM	472	+	intronic				0		24968937
  PT1_Y11.4	chr1	150916189	3LTR	+	1	SETDB1	9869	+	intronic				0		24968937
  PT1_Y11.4	chr6	90725892	5LTR	-	2	BACH2	60468	-	intronic				0		24968937
  PT1_Y4.8	chr19	2185796	5LTR	-	1	DOT1L	84444	+	intronic				0		24968937
  PT1_Y11.4	chr14	35685806	3LTR	-	1	KIAA0391	9692	+	intronic				0		24968937
  PT1_Y0.2	chr5	109702534	3LTR	+	1	not found				TMEM232	642987	-	52664		24968937
  PT1_Y11.4	chr6	31131661	3LTR	-	1	TCF19	6941	+	UTR3				0		24968937
  PT4_Y12.2	chr12	107353077	3LTR	-	2	TMEM263			intronic				0		24968937
  PT1_Y11.4	chr7	87599365	3LTR	-	1	ADAM22	53616	+	intronic				0		24968937
  PT1_Y11.4	chr6	34647892	3LTR	-	1	C6orf106			intronic				0		24968937
  PT1_Y11.4	chr14	97296489	5LTR	-	1	VRK1	7443	+	intronic				0		24968937
  PT1_Y11.4	chr1	144929226	3LTR	-	1	NBPF20			intronic				0		24968937
  PT1_Y11.4	chr6	150093287	5LTR	-	1	PCMT1	5110	+	intronic				0		24968937
  PT3_Y7.2	chr17	16970031	3LTR	-	1	MPRIP	23164	+	intronic				0		24968937
  PT4_Y12.2	chr19	17308365	3LTR	-	1	MYO9B	4650	+	intronic				0		24968937
  PT5_Y14.5	chr19	17875949	3LTR	+	1	FCHO1	23149	+	intronic				0		24968937
  PT1_Y11.4	chr16	68130647	5LTR	-	1	NFATC3	4775	+	intronic				0		24968937
  PT3_Y7.2	chr12	4295561	3LTR	-	1	not found				CCND2-AS1			62372		24968937
  PT3_Y7.2	chr3	15294446	3LTR	+	1	not found				CAPN7	23473	+	23		24968937
  PT1_Y0.2	chr1	224614571	3LTR	-	1	WDR26	80232	-	intronic				0		24968937
  PT1_Y11.4	chr11	65271074	3LTR	-	1	MALAT1	378938	+	ncRNA_exonic				0		24968937
  PT1_Y11.4	chr17	27877735	5LTR	-	1	TAOK1	57551	+	UTR3				0		24968937
  PT1_Y11.4	chr10	44281353	5LTR	-	1	not found				HNRNPA3P1	10151	-	1507		24968937
  PT1_Y11.4	chrX	15858834	3LTR	+	1	AP1S2	8905	-	intronic				0		24968937
  PT1_Y11.4	chr1	198506789	3LTR	-	7	ATP6V1G3	127124	-	intronic				0		24968937
  PT1_Y11.4	chr19	47655988	3LTR	+	1	SAE1	10055	+	intronic				0		24968937
  PT1_Y11.4	chr16	88652099	3LTR	+	1	ZC3H18	124245	+	intronic				0		24968937
  PT1_Y11.4	chr9	132777706	5LTR	-	1	FNBP1	23048	-	intronic				0		24968937
  PT1_Y4.8	chr15	66070410	5LTR	+	1	DENND4A	10260	-	intronic				0		24968937
  PT1_Y0.2	chr9	6001946	3LTR	-	4	KIAA2026	158358	-	intronic				0		24968937
  PT1_Y11.4	chr1	109443124	3LTR	-	1	GPSM2	29899	+	intronic				0		24968937
  PT1_Y11.4	chr16	24562540	3LTR	-	1	RBBP6	5930	+	intronic				0		24968937
  PT1_Y11.4	chr18	43813346	5LTR	-	1	C18orf25			intronic				0		24968937
  PT1_Y4.8	chr20	3961150	3LTR	-	1	RNF24	11237	-	intronic				0		24968937
  PT1_Y11.4	chr16	31900036	3LTR	-	1	ZNF267	10308	+	intronic				0		24968937
  PT3_Y7.2	chrX	153558489	3LTR	-	1	TKTL1			UTR3				0		24968937
  PT4_Y12.2	chr19	36896167	3LTR	+	1	ZFP82	284406	-	intronic				0		24968937
  PT1_Y11.4	chr15	52894767	5LTR	+	2	FAM214A			intronic				0		24968937
  PT5_Y14.5	chr17	38799819	3LTR	-	1	SMARCE1	6605	-	intronic				0		24968937
  PT4_Y12.2	chr4	103429720	3LTR	-	1	NFKB1	4790	+	intronic				0		24968937
  PT1_Y11.4	chrX	149827578	5LTR	-	1	MTM1	4534	+	intronic				0		24968937
  PT4_Y12.2	chr17	60044806	3LTR	+	1	MED13	9969	-	intronic				0		24968937
  PT3_Y7.2	chr22	21955764	3LTR	-	1	UBE2L3	7332	+	intronic				0		24968937
  PT1_Y11.4	chr14	99695552	3LTR	+	2	BCL11B	64919	-	intronic				0		24968937
  PT4_Y12.2	chr16	713724	3LTR	-	1	WDR90	197335	+	intronic				0		24968937
